english_command,korean_command,intent,target_type,attribute,spatial_relation,spatial_reference,position,jsonl,split
trash button below the menu,메뉴 아래에 버튼 삭제,delete,button,NONE,below,menu,NONE,"{""text"": ""trash button below the menu"", ""labels"": {""intent"": ""delete"", ""target_type"": ""button"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""menu"", ""position"": ""NONE""}}",train
tap on final btn under the last item,마지막 항목 하단에 마지막 버튼 선택,click,button,NONE,below,last item,last,"{""text"": ""tap on final btn under the last item"", ""labels"": {""intent"": ""click"", ""target_type"": ""button"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""last item"", ""position"": ""last""}}",train
launch the 1st button,1번째 버튼 실행,open,button,NONE,NONE,NONE,1st,"{""text"": ""launch the 1st button"", ""labels"": {""intent"": ""open"", ""target_type"": ""button"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""1st""}}",train
copy red text below the settings,설정 아래에 빨간색 텍스트 복사,copy,text,red,below,settings,NONE,"{""text"": ""copy red text below the settings"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""red"", ""spatial_relation"": ""below"", ""spatial_reference"": ""settings"", ""position"": ""NONE""}}",train
press and hold icon to the left of the first email,첫 번째 이메일 왼쪽에 아이콘 길게 누르기,long-press,icon,NONE,left_of,first email,NONE,"{""text"": ""press and hold icon to the left of the first email"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""icon"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""first email"", ""position"": ""NONE""}}",train
select text,텍스트 선택,click,text,NONE,NONE,NONE,NONE,"{""text"": ""select text"", ""labels"": {""intent"": ""click"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
remove orange text to the right of the profile,프로필 오른쪽에 주황색 텍스트 삭제,delete,text,orange,right_of,profile,NONE,"{""text"": ""remove orange text to the right of the profile"", ""labels"": {""intent"": ""delete"", ""target_type"": ""text"", ""attribute"": ""orange"", ""spatial_relation"": ""right_of"", ""spatial_reference"": ""profile"", ""position"": ""NONE""}}",train
launch the 3rd link to the left of the cart,장바구니 왼쪽에 3번째 링크 실행,open,link,NONE,left_of,cart,3rd,"{""text"": ""launch the 3rd link to the left of the cart"", ""labels"": {""intent"": ""open"", ""target_type"": ""link"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""cart"", ""position"": ""3rd""}}",train
trash text,텍스트 삭제,delete,text,NONE,NONE,NONE,NONE,"{""text"": ""trash text"", ""labels"": {""intent"": ""delete"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
trash the last button next to the notifications,알림 옆에 마지막 버튼 삭제,delete,button,NONE,next_to,notifications,last,"{""text"": ""trash the last button next to the notifications"", ""labels"": {""intent"": ""delete"", ""target_type"": ""button"", ""attribute"": ""NONE"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""notifications"", ""position"": ""last""}}",train
select icon next to the first email,첫 번째 이메일 옆에 아이콘 선택,click,icon,NONE,next_to,first email,NONE,"{""text"": ""select icon next to the first email"", ""labels"": {""intent"": ""click"", ""target_type"": ""icon"", ""attribute"": ""NONE"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""first email"", ""position"": ""NONE""}}",train
remove gray button above the search,search 상단에 gray button,delete,button,gray,above,search,NONE,"{""text"": ""remove gray button above the search"", ""labels"": {""intent"": ""delete"", ""target_type"": ""button"", ""attribute"": ""gray"", ""spatial_relation"": ""above"", ""spatial_reference"": ""search"", ""position"": ""NONE""}}",train
long-press symbol on top of the home,home 상단에  icon,long-press,icon,NONE,above,home,NONE,"{""text"": ""long-press symbol on top of the home"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""icon"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""home"", ""position"": ""NONE""}}",train
trash the 2nd image next to the search,검색 옆에 2번째 이미지 삭제,delete,image,NONE,next_to,search,2nd,"{""text"": ""trash the 2nd image next to the search"", ""labels"": {""intent"": ""delete"", ""target_type"": ""image"", ""attribute"": ""NONE"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""search"", ""position"": ""2nd""}}",train
scroll down to pink tab to the left of the payment,결제 왼쪽에 아래로 스크롤하여 분홍색 탭 이동,scroll,tab,pink,left_of,payment,NONE,"{""text"": ""scroll down to pink tab to the left of the payment"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""tab"", ""attribute"": ""pink"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""payment"", ""position"": ""NONE""}}",test
long-press the 3rd orange image below the first email,첫 번째 이메일 아래에 3번째 주황색 이미지 long-press,long-press,image,orange,below,first email,3rd,"{""text"": ""long-press the 3rd orange image below the first email"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""image"", ""attribute"": ""orange"", ""spatial_relation"": ""below"", ""spatial_reference"": ""first email"", ""position"": ""3rd""}}",train
paste text above the menu,메뉴 위에 텍스트 붙여넣기,paste,text,NONE,above,menu,NONE,"{""text"": ""paste text above the menu"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""menu"", ""position"": ""NONE""}}",train
paste text above the settings,설정 위에 텍스트 붙여넣기,paste,text,NONE,above,settings,NONE,"{""text"": ""paste text above the settings"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""settings"", ""position"": ""NONE""}}",test
paste black text to the left of the profile,프로필 왼쪽에 검정색 텍스트 붙여넣기,paste,text,black,left_of,profile,NONE,"{""text"": ""paste black text to the left of the profile"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""black"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""profile"", ""position"": ""NONE""}}",train
scroll down to tab next to the payment,결제 옆에 아래로 스크롤하여 탭 이동,scroll,tab,NONE,next_to,payment,NONE,"{""text"": ""scroll down to tab next to the payment"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""tab"", ""attribute"": ""NONE"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""payment"", ""position"": ""NONE""}}",train
tap last button below the wi-fi,wi-fi 아래에  button,tap,button,NONE,below,wi-fi,last,"{""text"": ""tap last button below the wi-fi"", ""labels"": {""intent"": ""tap"", ""target_type"": ""button"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""wi-fi"", ""position"": ""last""}}",train
scroll down to the 2nd tab to the right of the address,주소 오른쪽에 아래로 스크롤하여 2번째 탭 이동,scroll,tab,NONE,right_of,address,2nd,"{""text"": ""scroll down to the 2nd tab to the right of the address"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""tab"", ""attribute"": ""NONE"", ""spatial_relation"": ""right_of"", ""spatial_reference"": ""address"", ""position"": ""2nd""}}",test
copy the 3rd text below the wi-fi,Wi-Fi 아래에 3번째 텍스트 복사,copy,text,NONE,below,wi-fi,3rd,"{""text"": ""copy the 3rd text below the wi-fi"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""wi-fi"", ""position"": ""3rd""}}",test
press the last icon,마지막 아이콘 press,click,icon,NONE,NONE,NONE,last,"{""text"": ""press the last icon"", ""labels"": {""intent"": ""click"", ""target_type"": ""icon"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""last""}}",test
click on green icon,녹색 아이콘 클릭,click,icon,green,NONE,NONE,NONE,"{""text"": ""click on green icon"", ""labels"": {""intent"": ""click"", ""target_type"": ""icon"", ""attribute"": ""green"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
press switch,스위치 press,click,switch,NONE,NONE,NONE,NONE,"{""text"": ""press switch"", ""labels"": {""intent"": ""click"", ""target_type"": ""switch"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
open button,버튼 열기,open,button,NONE,NONE,NONE,NONE,"{""text"": ""open button"", ""labels"": {""intent"": ""open"", ""target_type"": ""button"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
click on text below the notifications,알림 아래에 텍스트 클릭,click,text,NONE,below,notifications,NONE,"{""text"": ""click on text below the notifications"", ""labels"": {""intent"": ""click"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""notifications"", ""position"": ""NONE""}}",train
paste the 3rd text above the last item,마지막 항목 위에 3번째 텍스트 붙여넣기,paste,text,NONE,above,last item,3rd,"{""text"": ""paste the 3rd text above the last item"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""last item"", ""position"": ""3rd""}}",train
tap on orange tab below the last item,마지막 항목 아래에 주황색 탭 탭,tap,tab,orange,below,last item,NONE,"{""text"": ""tap on orange tab below the last item"", ""labels"": {""intent"": ""tap"", ""target_type"": ""tab"", ""attribute"": ""orange"", ""spatial_relation"": ""below"", ""spatial_reference"": ""last item"", ""position"": ""NONE""}}",train
copy text next to the login,로그인 옆에 텍스트 복사,copy,text,NONE,next_to,login,NONE,"{""text"": ""copy text next to the login"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""login"", ""position"": ""NONE""}}",test
duplicate label left of the profile,프로필 좌측에 텍스트 복사,copy,text,NONE,left_of,profile,NONE,"{""text"": ""duplicate label left of the profile"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""profile"", ""position"": ""NONE""}}",train
paste gray text,회색 텍스트 붙여넣기,paste,text,gray,NONE,NONE,NONE,"{""text"": ""paste gray text"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""gray"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",val
long-press red label under the menu,메뉴 하단에 빨간색 텍스트 길게 누르기,long-press,text,red,below,menu,NONE,"{""text"": ""long-press red label under the menu"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""text"", ""attribute"": ""red"", ""spatial_relation"": ""below"", ""spatial_reference"": ""menu"", ""position"": ""NONE""}}",test
click on purple link to the left of the last item,last item 왼쪽에 purple link,click,link,purple,left_of,last item,NONE,"{""text"": ""click on purple link to the left of the last item"", ""labels"": {""intent"": ""click"", ""target_type"": ""link"", ""attribute"": ""purple"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""last item"", ""position"": ""NONE""}}",train
paste text above the notifications,알림 위에 텍스트 붙여넣기,paste,text,NONE,above,notifications,NONE,"{""text"": ""paste text above the notifications"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""notifications"", ""position"": ""NONE""}}",train
paste blue text below the address,주소 아래에 파란색 텍스트 붙여넣기,paste,text,blue,below,address,NONE,"{""text"": ""paste blue text below the address"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""blue"", ""spatial_relation"": ""below"", ""spatial_reference"": ""address"", ""position"": ""NONE""}}",train
press and hold the 1st icon to the right of the first email,첫 번째 이메일 오른쪽에 1번째 아이콘 길게 누르기,long-press,icon,NONE,right_of,first email,1st,"{""text"": ""press and hold the 1st icon to the right of the first email"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""icon"", ""attribute"": ""NONE"", ""spatial_relation"": ""right_of"", ""spatial_reference"": ""first email"", ""position"": ""1st""}}",train
remove pink button below the notifications,알림 아래에 분홍색 버튼 삭제,delete,button,pink,below,notifications,NONE,"{""text"": ""remove pink button below the notifications"", ""labels"": {""intent"": ""delete"", ""target_type"": ""button"", ""attribute"": ""pink"", ""spatial_relation"": ""below"", ""spatial_reference"": ""notifications"", ""position"": ""NONE""}}",train
copy the last text to the right of the menu,메뉴 오른쪽에 마지막 텍스트 복사,copy,text,NONE,right_of,menu,last,"{""text"": ""copy the last text to the right of the menu"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""right_of"", ""spatial_reference"": ""menu"", ""position"": ""last""}}",train
paste the 2nd text below the search,검색 아래에 2번째 텍스트 붙여넣기,paste,text,NONE,below,search,2nd,"{""text"": ""paste the 2nd text below the search"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""search"", ""position"": ""2nd""}}",train
paste text above the notifications,알림 위에 텍스트 붙여넣기,paste,text,NONE,above,notifications,NONE,"{""text"": ""paste text above the notifications"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""notifications"", ""position"": ""NONE""}}",test
tap red link to the left of the checkout,결제 왼쪽에 빨간색 링크 탭,tap,link,red,left_of,checkout,NONE,"{""text"": ""tap red link to the left of the checkout"", ""labels"": {""intent"": ""tap"", ""target_type"": ""link"", ""attribute"": ""red"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""checkout"", ""position"": ""NONE""}}",test
copy text,텍스트 복사,copy,text,NONE,NONE,NONE,NONE,"{""text"": ""copy text"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
open the 2nd icon next to the home,홈 옆에 2번째 아이콘 열기,open,icon,NONE,next_to,home,2nd,"{""text"": ""open the 2nd icon next to the home"", ""labels"": {""intent"": ""open"", ""target_type"": ""icon"", ""attribute"": ""NONE"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""home"", ""position"": ""2nd""}}",train
click button,버튼 클릭,click,button,NONE,NONE,NONE,NONE,"{""text"": ""click button"", ""labels"": {""intent"": ""click"", ""target_type"": ""button"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
tap on the 2nd button above the cart,장바구니 위에 2번째 버튼 탭,tap,button,NONE,above,cart,2nd,"{""text"": ""tap on the 2nd button above the cart"", ""labels"": {""intent"": ""tap"", ""target_type"": ""button"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""cart"", ""position"": ""2nd""}}",train
click on text above the search,search 위에  text,click,text,NONE,above,search,NONE,"{""text"": ""click on text above the search"", ""labels"": {""intent"": ""click"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""search"", ""position"": ""NONE""}}",train
copy green text to the left of the menu,menu 왼편에 green text,copy,text,green,left_of,menu,NONE,"{""text"": ""copy green text to the left of the menu"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""green"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""menu"", ""position"": ""NONE""}}",val
long-press white icon below the address,주소 아래에 흰색 아이콘 long-press,long-press,icon,white,below,address,NONE,"{""text"": ""long-press white icon below the address"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""icon"", ""attribute"": ""white"", ""spatial_relation"": ""below"", ""spatial_reference"": ""address"", ""position"": ""NONE""}}",test
press and hold text above the settings,설정 위에 텍스트 길게 누르기,long-press,text,NONE,above,settings,NONE,"{""text"": ""press and hold text above the settings"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""settings"", ""position"": ""NONE""}}",test
scroll to text,스크롤하여 텍스트 이동,scroll,text,NONE,NONE,NONE,NONE,"{""text"": ""scroll to text"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
scroll down to text to the right of the last item,마지막 항목 오른쪽에 아래로 스크롤하여 텍스트 이동,scroll,text,NONE,right_of,last item,NONE,"{""text"": ""scroll down to text to the right of the last item"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""right_of"", ""spatial_reference"": ""last item"", ""position"": ""NONE""}}",test
scroll down to the 2nd orange menu,아래로 스크롤하여 2번째 주황색 메뉴 이동,scroll,menu,orange,NONE,NONE,2nd,"{""text"": ""scroll down to the 2nd orange menu"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""menu"", ""attribute"": ""orange"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""2nd""}}",train
launch white tab to the right of the wi-fi,Wi-Fi 오른쪽에 흰색 탭 실행,open,tab,white,right_of,wi-fi,NONE,"{""text"": ""launch white tab to the right of the wi-fi"", ""labels"": {""intent"": ""open"", ""target_type"": ""tab"", ""attribute"": ""white"", ""spatial_relation"": ""right_of"", ""spatial_reference"": ""wi-fi"", ""position"": ""NONE""}}",test
scroll to menu,스크롤하여 메뉴 이동,scroll,menu,NONE,NONE,NONE,NONE,"{""text"": ""scroll to menu"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""menu"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",test
press and hold the last image,마지막 이미지 길게 누르기,long-press,image,NONE,NONE,NONE,last,"{""text"": ""press and hold the last image"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""image"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""last""}}",train
delete image,이미지 삭제,delete,image,NONE,NONE,NONE,NONE,"{""text"": ""delete image"", ""labels"": {""intent"": ""delete"", ""target_type"": ""image"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
launch icon to the left of the checkout,결제 왼쪽에 아이콘 실행,open,icon,NONE,left_of,checkout,NONE,"{""text"": ""launch icon to the left of the checkout"", ""labels"": {""intent"": ""open"", ""target_type"": ""icon"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""checkout"", ""position"": ""NONE""}}",train
launch the 1st icon below the cart,장바구니 아래에 1번째 아이콘 실행,open,icon,NONE,below,cart,1st,"{""text"": ""launch the 1st icon below the cart"", ""labels"": {""intent"": ""open"", ""target_type"": ""icon"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""cart"", ""position"": ""1st""}}",train
scroll down to the 2nd green tab,아래로 스크롤하여 2번째 녹색 탭 이동,scroll,tab,green,NONE,NONE,2nd,"{""text"": ""scroll down to the 2nd green tab"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""tab"", ""attribute"": ""green"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""2nd""}}",test
scroll down to second tab to the left of the wi-fi,wi-fi 좌측에  tab,scroll,tab,NONE,left_of,wi-fi,2nd,"{""text"": ""scroll down to second tab to the left of the wi-fi"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""tab"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""wi-fi"", ""position"": ""2nd""}}",train
touch panel on top of the cart,장바구니 상단에 탭 탭,tap,tab,NONE,above,cart,NONE,"{""text"": ""touch panel on top of the cart"", ""labels"": {""intent"": ""tap"", ""target_type"": ""tab"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""cart"", ""position"": ""NONE""}}",train
copy text,텍스트 복사,copy,text,NONE,NONE,NONE,NONE,"{""text"": ""copy text"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
long-press 3rd purple photo on top of the checkout,결제 상단에 3번째 보라색 이미지 long-press,long-press,image,purple,above,checkout,3rd,"{""text"": ""long-press 3rd purple photo on top of the checkout"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""image"", ""attribute"": ""purple"", ""spatial_relation"": ""above"", ""spatial_reference"": ""checkout"", ""position"": ""3rd""}}",train
scroll down to the last pink tab to the right of the home,홈 오른쪽에 아래로 스크롤하여 마지막 분홍색 탭 이동,scroll,tab,pink,right_of,home,last,"{""text"": ""scroll down to the last pink tab to the right of the home"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""tab"", ""attribute"": ""pink"", ""spatial_relation"": ""right_of"", ""spatial_reference"": ""home"", ""position"": ""last""}}",train
tap on url link beneath the checkout,checkout 하단에  link,tap,link,NONE,below,checkout,NONE,"{""text"": ""tap on url link beneath the checkout"", ""labels"": {""intent"": ""tap"", ""target_type"": ""link"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""checkout"", ""position"": ""NONE""}}",test
click on icon to the right of the login,로그인 오른쪽에 아이콘 클릭,click,icon,NONE,right_of,login,NONE,"{""text"": ""click on icon to the right of the login"", ""labels"": {""intent"": ""click"", ""target_type"": ""icon"", ""attribute"": ""NONE"", ""spatial_relation"": ""right_of"", ""spatial_reference"": ""login"", ""position"": ""NONE""}}",train
navigate to panel left of the checkout,결제 좌측에 스크롤하여 탭 이동,scroll,tab,NONE,left_of,checkout,NONE,"{""text"": ""navigate to panel left of the checkout"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""tab"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""checkout"", ""position"": ""NONE""}}",train
tap the 1st button below the address,주소 아래에 1번째 버튼 탭,tap,button,NONE,below,address,1st,"{""text"": ""tap the 1st button below the address"", ""labels"": {""intent"": ""tap"", ""target_type"": ""button"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""address"", ""position"": ""1st""}}",train
open the second control on the left of the login,login 왼쪽에  button,open,button,NONE,left_of,login,2nd,"{""text"": ""open the second control on the left of the login"", ""labels"": {""intent"": ""open"", ""target_type"": ""button"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""login"", ""position"": ""2nd""}}",test
press and hold button next to the first email,첫 번째 이메일 옆에 버튼 길게 누르기,long-press,button,NONE,next_to,first email,NONE,"{""text"": ""press and hold button next to the first email"", ""labels"": {""intent"": ""long-press"", ""target_type"": ""button"", ""attribute"": ""NONE"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""first email"", ""position"": ""NONE""}}",train
press text to the left of the wi-fi,Wi-Fi 왼쪽에 텍스트 press,click,text,NONE,left_of,wi-fi,NONE,"{""text"": ""press text to the left of the wi-fi"", ""labels"": {""intent"": ""click"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""wi-fi"", ""position"": ""NONE""}}",train
place text field beneath the profile,profile 아래쪽에  text,paste,text,NONE,below,profile,NONE,"{""text"": ""place text field beneath the profile"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""profile"", ""position"": ""NONE""}}",train
access btn on top of the settings,settings 상단에  button,open,button,NONE,above,settings,NONE,"{""text"": ""access btn on top of the settings"", ""labels"": {""intent"": ""open"", ""target_type"": ""button"", ""attribute"": ""NONE"", ""spatial_relation"": ""above"", ""spatial_reference"": ""settings"", ""position"": ""NONE""}}",train
scroll to menu next to the search,검색 옆에 스크롤하여 메뉴 이동,scroll,menu,NONE,next_to,search,NONE,"{""text"": ""scroll to menu next to the search"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""menu"", ""attribute"": ""NONE"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""search"", ""position"": ""NONE""}}",train
paste the 2nd red text,2번째 빨간색 텍스트 붙여넣기,paste,text,red,NONE,NONE,2nd,"{""text"": ""paste the 2nd red text"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""red"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""2nd""}}",test
start link on the left side of the search,search 왼쪽에  link,open,link,NONE,left_of,search,NONE,"{""text"": ""start link on the left side of the search"", ""labels"": {""intent"": ""open"", ""target_type"": ""link"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""search"", ""position"": ""NONE""}}",val
copy the 2nd gray text to the left of the wi-fi,Wi-Fi 왼쪽에 2번째 회색 텍스트 복사,copy,text,gray,left_of,wi-fi,2nd,"{""text"": ""copy the 2nd gray text to the left of the wi-fi"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""gray"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""wi-fi"", ""position"": ""2nd""}}",val
scroll to green text,스크롤하여 녹색 텍스트 이동,scroll,text,green,NONE,NONE,NONE,"{""text"": ""scroll to green text"", ""labels"": {""intent"": ""scroll"", ""target_type"": ""text"", ""attribute"": ""green"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",test
touch btn under the search,검색 하단에 버튼 탭,tap,button,NONE,below,search,NONE,"{""text"": ""touch btn under the search"", ""labels"": {""intent"": ""tap"", ""target_type"": ""button"", ""attribute"": ""NONE"", ""spatial_relation"": ""below"", ""spatial_reference"": ""search"", ""position"": ""NONE""}}",train
click on button to the left of the login,로그인 왼쪽에 버튼 클릭,click,button,NONE,left_of,login,NONE,"{""text"": ""click on button to the left of the login"", ""labels"": {""intent"": ""click"", ""target_type"": ""button"", ""attribute"": ""NONE"", ""spatial_relation"": ""left_of"", ""spatial_reference"": ""login"", ""position"": ""NONE""}}",val
copy text next to the payment,결제 옆에 텍스트 복사,copy,text,NONE,next_to,payment,NONE,"{""text"": ""copy text next to the payment"", ""labels"": {""intent"": ""copy"", ""target_type"": ""text"", ""attribute"": ""NONE"", ""spatial_relation"": ""next_to"", ""spatial_reference"": ""payment"", ""position"": ""NONE""}}",train
tap on gray link,회색 링크 탭,tap,link,gray,NONE,NONE,NONE,"{""text"": ""tap on gray link"", ""labels"": {""intent"": ""tap"", ""target_type"": ""link"", ""attribute"": ""gray"", ""spatial_relation"": ""NONE"", ""spatial_reference"": ""NONE"", ""position"": ""NONE""}}",train
paste pink text below the cart,장바구니 아래에 분홍색 텍스트 붙여넣기,paste,text,pink,below,cart,NONE,"{""text"": ""paste pink text below the cart"", ""labels"": {""intent"": ""paste"", ""target_type"": ""text"", ""attribute"": ""pink"", ""spatial_relation"": ""below"", ""spatial_reference"": ""cart"", ""position"": ""NONE""}}",train
press tab to the right of the notifications,알림 오른쪽에 탭 press,click,tab,NONE,right_of,notifications,NONE,"{""text"": ""press tab to the right of the notifications"", ""labels"": {""intent"": ""click"", ""target_type"": ""tab"", ""attribute"": ""NONE"", ""spatial_relation"": ""right_of"", ""spatial_reference"": ""notifications"", ""position"": ""NONE""}}",train
