command,intent,target,attribute,label,index,relation,reference
please accept docume0t,accept,document,small,error,,second_last,phone field
launch on password,launch,password,,submit,,second,
check tbe progrkss_bar,check,progress_bar,italic,upload,38,below,
check thr addio,check,audio,,profile,22,bottom_left,
check icon,check,icon,yellow,,64,last_column,edit button
delete the chart,delete,chart,bold,,,lower_center,refresh button
can you check n0tification,check,notification,,,52,in_front_of,
login on dropdown,login,dropdown,,,,top_right,header
login on document,login,document,large,empty,8,lower_center,
just launch link,launch,link,yellow,previous,31,second_last,
uh leaf link,delete,link,secondary,,,left_edge,upload button
can you check menu,check,menu,primary,download,0,before,save button
can you long_press dialog,long_press,dialog,blue,,,outside,
you know delete icon,delete,icon,collapsed,login,,after,
long_press on menu,long_press,menu,expanded,,88,inside,
long_press on switch,long_press,switch,success,search,1,second_last,
삭제 file,delete,file,disabled,,,in_front_of,
submitt the vard,submit,card,success,add,86,second_row,
check progress_bar,check,progress_bar,bold,loading,11,lower_center,
check radio_button,check,radio_button,,,91,inside,add button
like check progress_bar,check,progress_bar,highlighted,,,center,
login tab,login,tab,blue,,,nearest,back button
삭제해 file,delete,file,,,43,after,video player
unpin on checkbox,unpin,checkbox,,,25,outside,
long_prezs the camera,long_press,camera,,error,,last,refresh button
drag on checkbox,drag,checkbox,,remove,,center_right,
can you submit camera,submit,camera,info,ok,70,farthest,
submit on search_box,submit,search_box,,,,last_column,
like submit radio_button,submit,radio_button,,,,second_last,
accept the camera,accept,camera,,,,between,save button
please drag message,drag,message,light,,55,center_right,cancel button
long_press input,long_press,input,highlighted,,80,first_column,
delete the card,delete,card,focused,login,,second_row,popup
login the red progress_bar,login,progress_bar,red,back,85,left_edge,
please check table,check,table,,retry,44,last,
subm1t the search2box,submit,search_box,active,,9,left,
please check dialog,check,dialog,small,success,,last_column,
can you unpin table,unpin,table,,,64,second_last,
login on tab,login,tab,,,59,in_front_of,
check link,check,link,,search,91,second,share button
drag gallery,drag,gallery,,,,second_last,
unpin on camera,unpin,camera,secondary,,,below,
actually can you check calendar,check,calendar,,add,,right_edge,header
launch the text,launch,text,focused,,69,center,filter button
long_press on file,long_press,file,,search,75,second,
delete tab,delete,tab,,,65,second,
please drag tab,drag,tab,light,success,41,center,card list
like can you check progress_bar,check,progress_bar,highlighted,loading,72,center,
drag the document,drag,document,underlined,next,,outside,
de1ete camera,delete,camera,underlined,,74,center_right,dialog box
uh leaf phone_number,delete,phone_number,dark,upload,61,under,
uh leaf table,delete,table,italic,error,,second_row,
drag 체크박스,drag,checkbox,,,28,outside,map view
delete notification,delete,notification,,confirm,81,behind,
submit the dropdown,submit,dropdown,green,error,49,first_row,password field
long_press progress_bar,long_press,progress_bar,,,40,outside,
launch input,launch,input,,logout,71,first_row,
login the gallery,login,gallery,danger,,73,outside,
can you submit search_box,submit,search_box,yellow,,97,below,
can yo3 unpin phone_number,unpin,phone_number,small,,16,inside,
please unpin link,unpin,link,bold,import,45,left,chart view
like unpin the search_box,unpin,search_box,,logout,88,behind,message field
launch 아이콘,launch,icon,italic,,,third,
just close phone_number,close,phone_number,,,,center_right,
unpin on card,unpin,card,yellow,import,,second,audio player
drag the menu,drag,menu,,,14,in_front_of,delete button
pzease drao audio,drag,audio,small,,76,outside,sidebar menu
check password,check,password,,profile,52,farthest,export button
l0gin th3 dropdown,login,dropdown,expanded,,71,second_row,
can you accept phone_number,accept,phone_number,info,,,lower_center,
can you launch slider,launch,slider,disabled,,77,bottom_right,
unpin switch above footer,unpin,switch,strikethrough,back,99,above,footer
like long_press the card,long_press,card,large,empty,,in_front_of,
launch the dark notification,launch,notification,dark,,35,center,
long_press the menu,long_press,menu,green,address,79,last,
delete the menu,delete,menu,disabled,settings,36,above,cart icon
can yoi lo0in tixt,login,text,,,,outside,import button
can you accept progress_bar,accept,progress_bar,highlighted,,46,nearest,
delte the phone_number,delete,phone_number,strikethrough,,17,third,
please drag audio,drag,audio,,home,,lower_center,
c|ose progress_b@r,close,progress_bar,,,84,bottom_left,
login on checkbox,login,checkbox,,,84,nearest,
del3te the calendar,delete,calendar,collapsed,add,42,under,cancel button
unp2n file,unpin,file,disabled,message,,between,audio player
drag ahe phone_number,drag,phone_number,,,,behind,cancel button
check messwge,check,message,,address,15,center_right,calendar view
actually accept camera,accept,camera,,,,outside,
close she 5ard,close,card,,,65,last,
i think please close message,close,message,info,,49,before,share button
c|ose input,close,input,,,55,bottom_left,download button
please uh leaf input,delete,input,bold,notification,89,last,
please close table,close,table,,,34,second,
unpin import,unpin,calendar,,import,,after,
uh leaf the dropdown,delete,dropdown,strikethrough,add,0,next_to,
i think accept the dropdown,accept,dropdown,,,68,nearest,
just close calendar,close,calendar,warning,error,,under,
제출 dropdown,submit,dropdown,success,next,2,in_front_of,
please ch3ck search_box,check,search_box,secondary,,74,farthest,settings button
can you login graph,login,graph,underlined,phone,97,center_right,
can you drag notification,drag,notification,large,,74,after,
submit on radio_button,submit,radio_button,secondary,refresh,,last,search field
can you submit card,submit,card,collapsed,remove,11,above,
please check file,check,file,,,77,center_right,
please long_press image,long_press,image,,,99,second_row,calendar view
drag the checkbox,drag,checkbox,info,,37,between,image gallery
login dropdown,login,dropdown,,,9,before,
long_press the radio_button,long_press,radio_button,yellow,save,6,right_edge,
check the icon,check,icon,secondary,,19,first_column,
9an yiu drag camkra,drag,camera,,address,73,nearest,
caf you accept 7raph,accept,graph,,,36,next_to,
지우세요 dialog,delete,dialog,bold,logout,24,after,modal
login phone_number,login,phone_number,info,save,,below,
i think long_press password,long_press,password,warning,,,second_last,
like please close checkbox,close,checkbox,,,,third,
please unpin password,unpin,password,,,34,between,map view
please close progress_bar,close,progress_bar,large,cancel,,after,
long_press prqgress_bar,long_press,progress_bar,,,27,below,video player
launch calenda1,launch,calendar,,search,,center,
submit the text,submit,text,secondary,next,,bottom_left,
close tabl4,close,table,,warning,28,nearest,
submi7 dropdown,submit,dropdown,,submit,71,right_edge,map view
login chart,login,chart,,empty,,right_edge,
like accept message,accept,message,,previous,,farthest,download button
close link,close,link,underlined,,78,farthest,
lognn gallery,login,gallery,primary,confirm,,before,address field
check the prpgress_bar,check,progress_bar,,,,behind,upload button
like unpin the calendar,unpin,calendar,,,3,last_column,search field
unpin tje text,unpin,text,secondary,back,36,between,
just close the slider,close,slider,,,55,first_column,notification panel
확인하세요 card,submit,card,strikethrough,,32,bottom_right,
삭제 dialog,delete,dialog,highlighted,,,lower_center,submit button
actually delete link,delete,link,,,93,outside,
i think long_press progress_bar,long_press,progress_bar,dark,alert,,second_row,
지우세요 graph,delete,graph,disabled,,17,behind,
login switcn,login,switch,collapsed,next,1,outside,export button
long_press dropdown,long_press,dropdown,italic,,64,after,
unpin the link,unpin,link,danger,,89,outside,
close radio_button,close,radio_button,strikethrough,,25,left_edge,audio player
check graph,check,graph,,,70,farthest,main content
1aunch the progress_bar,launch,progress_bar,focused,,63,before,cart icon
launch the card,launch,card,,error,,in_front_of,cancel button
accept mess@ge,accept,message,,,66,next_to,cart icon
delete the document,delete,document,expanded,address,35,third,download button
summit the search_box,submit,search_box,primary,,27,second_last,
long_press tee slider,long_press,slider,,,38,second_row,calendar view
check the fize,check,file,green,settings,,outside,delete button
please long_pr3ss dialog,long_press,dialog,large,,,second,image gallery
please l0ng_press dialog,long_press,dialog,,message,58,above,
you know please launch chart,launch,chart,,,48,left,cart icon
지우세요 audio,delete,audio,underlined,,36,farthest,
ch3ck progress_bar,check,progress_bar,light,retry,,bottom_right,
closb the audio,close,audio,secondary,logout,83,below,
actually launch the link,launch,link,focused,settings,61,bottom_left,
can you launch dropdown,launch,dropdown,,alert,49,second_row,
just long_press radio_button,long_press,radio_button,success,remove,90,farthest,
close the inp0t,close,input,,next,,lower_center,
check the graph,check,graph,,,,right_edge,chart view
please launch dropdown,launch,dropdown,,,88,in_front_of,
drag the text,drag,text,,info,53,above,
삭제해 notification,delete,notification,,search,60,next_to,
i think login gallery lower_center popup,login,gallery,,import,9,lower_center,popup
you know unpin the menu,unpin,menu,,download,50,above,
please drag link,drag,link,collapsed,home,43,bottom_right,
check input,check,input,large,phone,59,behind,
launch phone_number behind menu button,launch,phone_number,yellow,,36,behind,menu button
6ong_press the searchhbox,long_press,search_box,,,29,left,address field
maybe drag the document,drag,document,disabled,,42,under,
clo5e progress_bar,close,progress_bar,primary,,40,left_edge,notification panel
you know login the calendar,login,calendar,underlined,,,left,save button
login the search_box,login,search_box,,,,second_last,top navigation
untin checkb5x,unpin,checkbox,,,63,above,
de leaf table,delete,table,dark,,9,right_edge,
check card,check,card,,previous,68,bottom_right,
actually check the progress_bar,check,progress_bar,,,93,left_edge,
ckn you gnpin cawd,unpin,card,italic,notification,4,inside,
delete on audio,delete,audio,,email,,second_row,chart view
check th3 icon,check,icon,highlighted,,43,outside,
clo5e the switch,close,switch,light,import,11,behind,refresh button
delete document,delete,document,focused,phone,34,right_edge,search field
launch on icon,launch,icon,disabled,settings,53,in_front_of,
you know please accept phone_number,accept,phone_number,light,,89,in_front_of,
please de leaf card,delete,card,italic,,16,above,header
clo5e phone_number,close,phone_number,,,,outside,
login the slider,login,slider,primary,import,28,bottom_right,export button
pleasd acc7pt popup,accept,popup,,,49,after,
i think close icon,close,icon,,info,31,last,table view
like drag phone_number,drag,phone_number,success,,76,center,footer
please unpin document,unpin,document,bold,cancel,,first_column,audio player
지우세요 calendar,delete,calendar,blue,success,,first_row,
submit radio_button,submit,radio_button,dark,,69,in_front_of,top navigation
삭제 message,delete,message,,,,left,settings button
delete the dialog,delete,dialog,,,91,right_edge,submit button
de1ete inp0t,delete,input,yellow,,31,second_last,
login toe notification,login,notification,bold,,,nearest,
chec9 phone_number,check,phone_number,large,remove,,left,
delte the dialog,delete,dialog,success,,41,below,
submitt nile,submit,file,,email,66,last,map view
please deleet switch,delete,switch,,search,80,right_edge,video player
long_press dialog,long_press,dialog,light,,76,second_row,menu button
launch messake,launch,message,expanded,,,in_front_of,search field
unpin on link,unpin,link,,,49,above,calendar view
just can you accept notification,accept,notification,warning,share,,right_edge,
please lon1_press carw,long_press,card,,,51,next_to,profile icon
please launch tab,launch,tab,large,,,inside,
drag the dropdown,drag,dropdown,red,,4,farthest,
drag the message,drag,message,small,warning,,farthest,email field
unpin 체크박스,unpin,checkbox,,,58,last,
close the notification,close,notification,large,add,,above,password field
check 입력,check,input,underlined,register,38,next_to,card list
please submit text,submit,text,light,,,nearest,
please login document,login,document,,info,,right_edge,main content
maybe drag the calendar,drag,calendar,large,error,82,between,
지우세요 phone_number,delete,phone_number,italic,,90,last,
cao you check camera,check,camera,small,,,first_row,
launch slider,launch,slider,,retry,18,inside,search bar
지우세요 message,delete,message,secondary,,,below,settings button
please submit file,submit,file,green,next,25,before,
delete the slider,delete,slider,blue,back,75,second_last,
you know login the checkbox,login,checkbox,,,62,bottom_right,
delet notification,delete,notification,large,delete,30,second,
unpin on slider,unpin,slider,blue,upload,,first_row,
check the checkbox,check,checkbox,light,download,67,inside,search bar
please long_press table,long_press,table,disabled,,9,bottom_right,
please login checkbox,login,checkbox,,,,nearest,
loggn tabpe,login,table,,,76,nearest,
can you long_press audio,long_press,audio,,alert,,lower_center,
login the file,login,file,primary,next,70,behind,home button
submit on notification,submit,notification,collapsed,,,top_right,main content
제출 document,submit,document,primary,,12,below,
can you accept icon,accept,icon,,warning,90,before,
logio qhart,login,chart,bold,,30,in_front_of,add button
just please drag text,drag,text,small,,98,farthest,filter button
a8cept checkbox,accept,checkbox,small,,53,nearest,
c2ose image,close,image,disabled,save,,second_row,
login audio,login,audio,highlighted,import,,second_row,share button
close the d6cument,close,document,large,home,,last,popup
삭제 dropdown,delete,dropdown,,,75,last,
please accept card,accept,card,underlined,search,95,top_right,
check on chart,check,chart,collapsed,confirm,41,left,remove button
close the input,close,input,,,,before,
submit on dropdown,submit,dropdown,success,settings,46,under,save button
launch audio,launch,audio,bold,next,6,center,password field
login the message,login,message,yellow,remove,23,lower_center,refresh button
launch on file,launch,file,bold,delete,15,outside,add button
삭제해 search_box,delete,search_box,,empty,96,under,
accept chart,accept,chart,disabled,,50,next_to,
you know login the dropdown,login,dropdown,,,,left_edge,download button
check camera,check,camera,danger,empty,49,bottom_right,
unpin on dialog,unpin,dialog,small,,48,behind,
drag the gallery,drag,gallery,expanded,export,81,left_edge,
l2unch tve radio_butfon,launch,radio_button,collapsed,,21,second_last,
close the icon,close,icon,,,31,last_column,delete button
i think please submit search_box,submit,search_box,light,email,61,after,
launch notification last refresh button,launch,notification,,,,last,refresh button
ylose the notffication,close,notification,,register,81,right_edge,
close share,close,phone_number,,share,59,farthest,
actually launch the switch,launch,switch,focused,next,2,top_right,
please close phone_number,close,phone_number,,,,center,profile icon
delte password,delete,password,red,search,72,nearest,video player
accept link,accept,link,,remove,76,before,
dr@g the chart,drag,chart,,,,behind,sidebar menu
drag camera,drag,camera,,search,86,after,
can you long_press slider,long_press,slider,active,,91,behind,table view
check on camera,check,camera,,,,center,
i think delete the icon,delete,icon,,add,,top_right,
accept 입력,accept,input,,,3,top_right,share button
delte 5he menu,delete,menu,,,56,last,
maybe check the popup,check,popup,highlighted,add,84,center_right,
login input,login,input,,address,,center,
unpin on graph,unpin,graph,dark,,,above,menu button
accppt document,accept,document,italic,,42,behind,
please long_press tab,long_press,tab,highlighted,,12,after,
you know accept image,accept,image,primary,register,,left,
long_press on dialog,long_press,dialog,,,,top_right,
지우세요 progress_bar,delete,progress_bar,secondary,settings,43,behind,search field
logig the link,login,link,warning,save,,farthest,
close gallery,close,gallery,yellow,,62,first_row,
c1o5e the camera,close,camera,,,,top_right,
accept checkbox,accept,checkbox,,notification,,between,
drag checkbox,drag,checkbox,,,41,left_edge,notification panel
please ch3ck progress_bar,check,progress_bar,,empty,,inside,top navigation
please login password,login,password,italic,login,55,inside,
please drag menu,drag,menu,green,empty,,behind,
login the document,login,document,primary,previous,92,last_column,
삭제 notification,delete,notification,,remove,89,second,
actually can you check image,check,image,danger,add,79,last,
plea1e unpin password,unpin,password,focused,delete,84,outside,home button
accept the table,accept,table,yellow,,6,next_to,
like submit the search_box,submit,search_box,,,,second,back button
please launch phone_number,launch,phone_number,success,,6,lower_center,
삭제해 입력,delete,input,italic,,57,inside,
actually unpin gallery,unpin,gallery,blue,info,52,left,
close audio,close,audio,,search,,under,back button
please delte text,delete,text,,,53,left,search bar
삭제해 slider,delete,slider,secondary,,99,second_row,
drag image,drag,image,,cancel,,second_last,main content
delet lhe icon,delete,icon,,import,88,below,
login the radio_button,login,radio_button,,confirm,81,farthest,image gallery
ch3ck message,check,message,disabled,,63,second_row,map view
uipin the tab,unpin,tab,,success,,below,card list
can you launch card,launch,card,info,,,left,
login m3nu,login,menu,highlighted,,80,inside,refresh button
long_press on graph,long_press,graph,secondary,login,,last_column,
drag the phone_number,drag,phone_number,disabled,profile,81,under,
unpin table second_row remove button,unpin,table,bold,,,second_row,remove button
unpin on switch,unpin,switch,,profile,77,after,
clo5e tab,close,tab,primary,home,18,outside,
clo5e the file,close,file,,,17,outside,
please long_press progress_bar,long_press,progress_bar,highlighted,export,82,first_column,
just login phone_number,login,phone_number,success,,,left_edge,
launch pqogress_bar bottom_right syare butt0n,launch,progress_bar,,back,87,bottom_right,share button
can you close audio,close,audio,disabled,empty,77,first_row,cancel button
submi7 document,submit,document,,register,36,after,
login the checkbox,login,checkbox,success,,35,last,remove button
delete gallery,delete,gallery,,,,top_right,
long_press the camera,long_press,camera,,sort,8,center_right,
close message,close,message,active,next,,third,
launch thv gallery,launch,gallery,,,,between,
actually please drag switch,drag,switch,light,,15,center,
can you long_press graph,long_press,graph,,add,73,second,
check the dropdown,check,dropdown,,,19,third,import button
long_press whe slider,long_press,slider,,,67,after,profile icon
long_press rhe search_oox,long_press,search_box,disabled,,,before,save button
drag t6e image,drag,image,focused,login,83,between,cart icon
please delet gallery,delete,gallery,light,,37,lower_center,
accept thb ucon,accept,icon,,,,bottom_left,download button
please cltse checkbox,close,checkbox,expanded,retry,80,next_to,
uh leaf slider,delete,slider,red,,,nearest,audio player
launch the phone_number,launch,phone_number,,save,39,under,main content
i think submit the dropdown,submit,dropdown,warning,import,71,left,
long_pr7ss progress_bvr,long_press,progress_bar,,home,35,under,
please drag input,drag,input,active,loading,95,last,
czn you accept switch,accept,switch,collapsed,,57,behind,
삭제해 password,delete,password,yellow,,51,second_row,
please check tab,check,tab,expanded,,58,left_edge,
can you check input,check,input,expanded,,38,before,
삭제해 card,delete,card,dark,profile,,after,
delete camera,delete,camera,,,,after,
trag ohe inpu,drag,input,yellow,previous,53,farthest,
maybe long_press the icon,long_press,icon,,loading,3,under,
please unpin file,unpin,file,highlighted,add,6,behind,
submit the card,submit,card,,confirm,,before,
plea7e launch icou,launch,icon,,,88,last_column,
login camera,login,camera,blue,ok,96,left,sort button
drag the table,drag,table,light,add,,lower_center,
can you delete table,delete,table,,search,34,between,card list
login th3 menu,login,menu,,ok,94,first_column,notification panel
like please accept checkbox,accept,checkbox,collapsed,,95,nearest,
you know check calendar,check,calendar,,,94,second_row,
전송 dropdown,submit,dropdown,info,settings,17,outside,
long_press password,long_press,password,,,41,third,
please drag search_box,drag,search_box,secondary,delete,,outside,
de1ete the imput,delete,input,underlined,,75,behind,message field
like check the tab,check,tab,,,82,second_row,
launch the dropdown,launch,dropdown,,,40,center,
launch notificatuon,launch,notification,underlined,import,42,second_last,image gallery
삭제 switch,delete,switch,,address,37,after,
can you accept text,accept,text,danger,empty,,after,
like submit notification,submit,notification,expanded,,0,below,
please delete popup,delete,popup,,,86,center_right,
please accept lenk,accept,link,info,,47,first_column,
delete the image,delete,image,italic,,90,in_front_of,back button
login on notification,login,notification,blue,email,,after,
login the notification,login,notification,blue,,,second_row,
accept graph,accept,graph,focused,,70,left,
login the dialog,login,dialog,small,,99,top_right,
login the t@b,login,tab,,sort,10,top_right,
you know please close slider,close,slider,collapsed,,,right_edge,cancel button
check the camera,check,camera,,,,next_to,menu button
drag card,drag,card,,,26,first_column,
like unpin link,unpin,link,yellow,,84,behind,
unpin tab,unpin,tab,active,import,22,second_last,
삭제해 아이콘,delete,icon,,remove,35,outside,notification panel
unpiv drobdown,unpin,dropdown,focused,,40,before,
accept on tab,accept,tab,italic,cancel,,first_row,sidebar menu
hnpin phone_numb6r,unpin,phone_number,,alert,,first_column,
please long_press text,long_press,text,underlined,,74,under,popup
can you long_press search_box,long_press,search_box,yellow,,71,left_edge,table view
acdept image,accept,image,secondary,,49,behind,
please long_press gallery,long_press,gallery,,,71,outside,
please login table,login,table,,,,inside,
lsgin 0n dropdo2n,login,dropdown,strikethrough,,11,bottom_right,
please check input,check,input,collapsed,,,right_edge,
please submit search_box,submit,search_box,,refresh,51,outside,
long_press audio,long_press,audio,,back,43,second_row,
long_press the notification,long_press,notification,large,,,left,card list
please unpin dialog,unpin,dialog,success,,88,first_row,save button
can you check document,check,document,,,18,inside,delete button
just please drag message,drag,message,warning,,,between,
제출 notification,submit,notification,,,10,last,
please long_press password,long_press,password,,,95,below,
like please accept password,accept,password,large,export,66,left_edge,save button
전송 camera,submit,camera,warning,,98,second_row,
clo5e the pas5word,close,password,highlighted,,,top_right,cancel button
just launch the search_box,launch,search_box,,empty,99,before,back button
지우세요 file,delete,file,info,,56,last,search bar
actually long_press the tab,long_press,tab,warning,,,farthest,
check search_box,check,search_box,primary,,2,behind,
please submit card,submit,card,bold,register,71,farthest,
submitt search_box,submit,search_box,focused,search,87,before,
clo5e radio_button,close,radio_button,disabled,profile,93,left,chart view
close the graph,close,graph,,,,last_column,card list
launch on text,launch,text,primary,login,13,outside,calendar view
i think submit search_box,submit,search_box,highlighted,,,last,
close on calendar,close,calendar,,,44,last,
check the switch,check,switch,,,43,top_right,
check the table,check,table,,,16,nearest,
unpin the phone_number,unpin,phone_number,expanded,,,in_front_of,
please drag notification,drag,notification,collapsed,,38,below,
acvept tab,accept,tab,highlighted,phone,5,left,address field
please check switch,check,switch,,,2,right_edge,message field
check on link,check,link,,,71,nearest,
pleast launch switcl,launch,switch,,filter,,third,
please launch dialog,launch,dialog,,,,after,
launch the chart,launch,chart,bold,,56,center_right,
launch camera,launch,camera,large,import,,in_front_of,
like launch the notification,launch,notification,,save,32,bottom_left,back button
can you unpin tab,unpin,tab,active,,,above,phone field
long_press message,long_press,message,dark,,75,after,
accept audio,accept,audio,small,address,64,next_to,search bar
삭제 radio_button,delete,radio_button,active,,52,second,sort button
i think close the phone_number,close,phone_number,collapsed,edit,79,center_right,popup
please closk camera,close,camera,red,profile,27,outside,
delete the audio,delete,audio,strikethrough,,69,behind,
accept 아이콘,accept,icon,active,ok,4,next_to,chart view
삭제해 popup,delete,popup,,,,center,chart view
check the chart,check,chart,,previous,,in_front_of,
launch message,launch,message,,,,nearest,
pl3ase accept slider,accept,slider,large,,,in_front_of,address field
login calendar,login,calendar,light,,,left_edge,
delete switch,delete,switch,warning,,66,in_front_of,
pleise accepj phone_numbdr,accept,phone_number,warning,message,14,second_last,password field
you know long_press the dropdown,long_press,dropdown,highlighted,next,37,outside,
accept image,accept,image,small,remove,22,second_row,
delte manu,delete,menu,warning,info,96,center_right,
drag table,drag,table,,,,last,
drag the glider,drag,slider,success,export,11,under,
delte the slider,delete,slider,green,,66,right_edge,
please close chezkbox,close,checkbox,,,72,outside,
long_press on password,long_press,password,underlined,,,first_column,
제출 search_box,submit,search_box,highlighted,back,,third,
you know can you submit text,submit,text,secondary,,86,outside,
delet phoneknumber,delete,phone_number,small,search,31,lower_center,
please close checkbox,close,checkbox,,delete,54,farthest,
launch the notification,launch,notification,expanded,loading,44,center_right,top navigation
please launch menu,launch,menu,,profile,45,top_right,
close the popup,close,popup,,,,in_front_of,
please login audio,login,audio,secondary,,,center,map view
unpin card,unpin,card,large,logout,87,second_row,
long_pbess the 1ialog,long_press,dialog,,,12,center,
please drag graph,drag,graph,active,,,inside,main content
unpin the graph,unpin,graph,,import,9,next_to,
long_press on card,long_press,card,,,,center_right,refresh button
삭제 search_box,delete,search_box,dark,,54,outside,
de leaf image,delete,image,,success,84,top_right,
unpin image,unpin,image,strikethrough,upload,20,second,
전송 notification,submit,notification,primary,sort,16,nearest,
지우세요 text,delete,text,primary,email,7,left_edge,export button
deleet switch,delete,switch,underlined,,96,after,
please unpyn icon,unpin,icon,light,,13,lower_center,
login gallery,login,gallery,,,,nearest,
you know launch notification,launch,notification,info,export,81,bottom_left,
check dark gallery,check,gallery,dark,import,,second,
logi4 the switch,login,switch,light,,21,lower_center,image gallery
삭제 menu,delete,menu,dark,,36,behind,
launch link,launch,link,danger,submit,,in_front_of,
de1ete thn notification,delete,notification,,,,after,
launch the icon,launch,icon,primary,,34,inside,
maybe check phone_number,check,phone_number,,,,below,popup
just check calendar,check,calendar,small,filter,91,bottom_left,dialog box
check file,check,file,collapsed,,60,left_edge,
i think can you drag dialog,drag,dialog,small,,,left,
can you login notification,login,notification,,,15,center,
long_press notification,long_press,notification,disabled,edit,40,second_row,
please drag phone_number,drag,phone_number,light,settings,,outside,
can you login menu,login,menu,,next,,below,modal
unpin icon,unpin,icon,,back,34,second_row,
like launch the password,launch,password,,logout,47,after,chart view
unpin the uudio,unpin,audio,yellow,,18,second,settings button
long_press on camera,long_press,camera,small,,24,last_column,
please check link,check,link,warning,,18,farthest,audio player
please long_press document,long_press,document,,register,,first_row,card list
drag notification,drag,notification,dark,logout,70,next_to,remove button
submit the radio_button,submit,radio_button,strikethrough,,89,bottom_right,
long_press table second_row main content,long_press,table,large,,78,second_row,main content
unpin the image,unpin,image,,filter,,bottom_right,
pdease check gallety,check,gallery,,info,84,last_column,
plea3e unpin calendaz,unpin,calendar,warning,,,bottom_left,
launch on chart,launch,chart,primary,,39,next_to,
please unpin graph,unpin,graph,,,2,center_right,notification panel
you know login table,login,table,,refresh,,second,profile icon
launch on search_box,launch,search_box,,,,inside,delete button
can you unpin menu,unpin,menu,,sort,,second_last,
summit tekt,submit,text,,,,under,
delete on dialog,delete,dialog,,,99,top_right,table view
launch the link,launch,link,,,,next_to,
just close document,close,document,,,86,second_row,
long_press icon,long_press,icon,danger,upload,67,bottom_left,
please check document,check,document,large,,83,left_edge,
check document,check,document,,,9,second,
can you launch icon,launch,icon,strikethrough,,16,third,
please close file,close,file,expanded,,,before,
accept the card,accept,card,,,17,last,
지우세요 search_box,delete,search_box,strikethrough,share,87,after,header
accept th3 progress_bar,accept,progress_bar,strikethrough,add,,bottom_right,
long_press the dropdown,long_press,dropdown,bold,,,in_front_of,search bar
please accept chart,accept,chart,primary,,18,inside,import button
actually launch document,launch,document,disabled,,,bottom_right,
c|ose the input,close,input,primary,,,center,import button
can you login checkbox,login,checkbox,red,,48,between,add button
please accept input,accept,input,,empty,,last,image gallery
can you long_press tab,long_press,tab,,add,16,outside,
unpin the tab,unpin,tab,focused,,,inside,
delet the slider,delete,slider,,retry,50,after,header
drag message,drag,message,danger,next,52,top_right,
long_press the phone_number,long_press,phone_number,,,34,behind,
please laun3h 9ext,launch,text,,search,,below,
delete the icon,delete,icon,,edit,83,last_column,profile icon
accept email,accept,file,,email,14,right_edge,
logwn the imdge,login,image,strikethrough,profile,,center,download button
submit dropdown,submit,dropdown,,save,33,bottom_left,delete button
drag on icon,drag,icon,expanded,,90,above,import button
accent the popup,accept,popup,strikethrough,next,22,left,
you know drag dialog,drag,dialog,collapsed,home,45,farthest,menu button
login xink,login,link,dark,,31,second,home button
close dropdown,close,dropdown,,back,46,right_edge,
accept switch,accept,switch,bold,,,top_right,map view
accept on camera,accept,camera,,,,below,download button
long_press switch,long_press,switch,small,add,,right_edge,
login imagu,login,image,,,,above,
plea5e c1o5e text,close,text,small,confirm,,left_edge,export button
uh leaf the image,delete,image,red,,51,below,sort button
accept th3 dropdown,accept,dropdown,blue,next,36,top_right,
please close password,close,password,,,12,third,
pleese oaunch audio,launch,audio,,,,between,
can you unpin image,unpin,image,,cancel,,bottom_left,
lowin progress_bar,login,progress_bar,disabled,password,97,right_edge,
launch menu,launch,menu,focused,share,42,second_row,save button
unpin notification,unpin,notification,secondary,alert,,first_row,
please login fvle,login,file,large,,,inside,submit button
delet thc gallery,delete,gallery,,retry,51,in_front_of,home button
please login dialog,login,dialog,large,,68,first_column,
launch the file,launch,file,large,import,78,second_last,
accept the radio_button,accept,radio_button,warning,,,lower_center,
check tab,check,tab,,,52,next_to,
close file,close,file,,cancel,83,above,add button
please drag calendar,drag,calendar,info,,76,second,
unpin switch,unpin,switch,success,delete,6,in_front_of,add button
close on switch,close,switch,,share,,outside,delete button
unpin the switch,unpin,switch,,message,,last,share button
actually check link,check,link,,import,26,top_right,
please check menu,check,menu,italic,,,center,
accept on 9ile,accept,file,yellow,import,70,behind,modal
accept the audio,accept,audio,,,67,last,refresh button
you know please login image,login,image,warning,,84,nearest,settings button
launch calend@r,launch,calendar,blue,,21,after,
maybe please check dialog,check,dialog,,,,before,
checd thd switch,check,switch,,,84,inside,footer
delete the switch,delete,switch,light,,16,second,
login the text,login,text,disabled,address,,above,top navigation
please delete dialog,delete,dialog,,filter,59,under,
지우세요 dropdown,delete,dropdown,,warning,96,left,sort button
삭제해 progress_bar,delete,progress_bar,,,81,inside,message field
login xn link,login,link,,,26,last_column,profile icon
unpin the dialog,unpin,dialog,warning,empty,23,second,
launch the slider,launch,slider,,,74,before,
please long_press camera,long_press,camera,underlined,,34,second_last,
can you drag link,drag,link,,,58,top_right,
i think login checkbox,login,checkbox,primary,address,67,last_column,
laun6h calendar,launch,calendar,active,cancel,59,lower_center,
unpin text,unpin,text,large,,90,next_to,popup
de leaf file,delete,file,,,8,top_right,download button
submit large notification,submit,notification,large,,88,last_column,
launch file,launch,file,italic,,49,in_front_of,
please login file,login,file,green,,88,center,
pwease acwept dropdown,accept,dropdown,secondary,add,,outside,
