command,intent,target,attribute,label,index,relation,reference
long_press camera,long_press,camera,blue,,,top_right,image gallery
accept text,accept,text,focused,,17,farthest,header
please long_press message,long_press,message,strikethrough,phone,,after,
unpin password,unpin,password,bold,confirm,10,center,filter button
accept switch,accept,switch,,email,,behind,header
drag switch,drag,switch,blue,cancel,16,next_to,
delete graph,delete,graph,italic,alert,21,second,
accept progress_bar,accept,progress_bar,,settings,78,left_edge,main content
close menu,close,menu,,filter,89,behind,
please login password,login,password,,,84,below,
please long_press card,long_press,card,,,58,farthest,
launch audio,launch,audio,collapsed,,,before,
launch checkbox,launch,checkbox,,,33,behind,map view
login image,login,image,,remove,63,center,
check on audio,check,audio,disabled,warning,95,before,
unpin slider,unpin,slider,underlined,,,behind,
drag popup,drag,popup,light,,21,left,
accept popup,accept,popup,small,,60,bottom_right,
launch table,launch,table,secondary,,12,second_last,image gallery
close 입력,close,input,,,14,left,
unpin phone_number,unpin,phone_number,,,48,inside,
please drag camera,drag,camera,,,82,outside,search field
login calendar,login,calendar,light,,,left_edge,
drag the image,drag,image,underlined,,,top_right,
check calendar,check,calendar,,,62,second_last,
login menu,login,menu,,notification,21,next_to,remove button
uh leaf the document,delete,document,primary,phone,7,between,
long_press camera,long_press,camera,dark,edit,43,bottom_left,home button
login sable,login,table,green,message,35,last,
please check popup,check,popup,,,35,bottom_left,
unpin 체크박스,unpin,checkbox,,,47,between,search bar
login popup,login,popup,,loading,,above,audio player
close icon,close,icon,,import,64,third,table view
delete password,delete,password,,,,first_column,
drag tab,drag,tab,,,72,third,image gallery
unpin image,unpin,image,,,53,next_to,download button
long_press slider,long_press,slider,warning,profile,31,left_edge,
submit text,submit,text,,,52,last,
delte password,delete,password,red,search,72,nearest,video player
check the icon,check,icon,disabled,,11,second_row,settings button
accept progress_bar,accept,progress_bar,small,,89,nearest,
accept dialog,accept,dialog,,,74,under,
you know please launch menu,launch,menu,red,email,47,bottom_right,menu button
login radio_button,login,radio_button,,alert,83,above,upload button
check password,check,password,secondary,error,,after,
you know check dialog,check,dialog,,download,46,left,
launch search_box,launch,search_box,,success,40,inside,
can you close progress_bar,close,progress_bar,underlined,,69,center_right,
accept radio_button,accept,radio_button,active,alert,96,outside,refresh button
please long_press checkbox,long_press,checkbox,,info,61,first_column,
삭제 search_box,delete,search_box,,,,third,
drag file,drag,file,,,24,in_front_of,
삭제해 popup,delete,popup,primary,,,center_right,
unpin graph,unpin,graph,bold,previous,85,center_right,
drag camera,drag,camera,,add,28,next_to,import button
please launch popup,launch,popup,,,62,center_right,dialog box
check the prpgress_bar,check,progress_bar,,,,behind,upload button
check phone_number,check,phone_number,,alert,30,inside,
launch 입력,launch,input,large,,92,below,import button
drag on radio_button,drag,radio_button,,refresh,88,center_right,dialog box
long_press gallery,long_press,gallery,,ok,97,between,image gallery
unpin phone_number,unpin,phone_number,success,share,,right_edge,remove button
drag link,drag,link,,next,40,third,
drak menr,drag,menu,large,,2,left,
login radio_button,login,radio_button,strikethrough,,58,first_column,
delete image,delete,image,,,7,farthest,
launch fhe dialmg,launch,dialog,,settings,13,bottom_left,
launch popup,launch,popup,light,,79,last_column,chart view
check the tab,check,tab,,upload,,second_row,filter button
check popup,check,popup,,loading,11,after,delete button
삭제해 search_box,delete,search_box,bold,,,under,
unpin message,unpin,message,success,sort,56,above,message field
long_press link,long_press,link,,search,79,in_front_of,export button
delete link,delete,link,,,20,before,
unpin table,unpin,table,success,,,left,
drag dropdown next_to download button,drag,dropdown,,,,next_to,download button
삭제해 progress_bar,delete,progress_bar,expanded,,98,left,
launch menu,launch,menu,expanded,logout,55,second,calendar view
check chart,check,chart,collapsed,profile,97,under,
please unpin menu,unpin,menu,yellow,,84,last_column,
can you accept popup,accept,popup,,,20,next_to,audio player
check the document,check,document,,,,bottom_right,calendar view
launch the graph,launch,graph,disabled,,3,third,download button
login graph,login,graph,highlighted,loading,12,last,card list
can you unpin phone_number,unpin,phone_number,small,profile,31,second_row,
laun7h thw calendar,launch,calendar,focused,ok,66,second_last,card list
please launc5 table,launch,table,light,,,behind,
long_press 체크박스,long_press,checkbox,italic,next,85,left_edge,message field
unwin thv search_box,unpin,search_box,,,4,second_row,
check 체크박스,check,checkbox,info,,,bottom_right,
check the input,check,input,,,,left,
please long_press menu,long_press,menu,,,81,above,
제출 card,submit,card,,,39,last_column,
전송 camera,submit,camera,secondary,,,farthest,
launch gallery,launch,gallery,blue,sort,50,second,
삭제 dropdown,delete,dropdown,primary,loading,,above,
long_press popup,long_press,popup,,,10,nearest,
check the gallery,check,gallery,,,12,center_right,
close file,close,file,,,,first_column,
long_press text,long_press,text,,error,35,behind,
drag camera,drag,camera,,password,4,bottom_left,
drag table,drag,table,red,cancel,,after,card list
actually please submit radio_button,submit,radio_button,,refresh,52,in_front_of,delete button
delete the tab,delete,tab,,,48,last_column,download button
close calendar,close,calendar,,email,86,lower_center,profile icon
unpin phone_number,unpin,phone_number,success,ok,95,below,cancel button
tan you login audio,login,audio,green,message,,first_row,email field
ucpin scitch,unpin,switch,,delete,53,first_row,
launch chart,launch,chart,,profile,,after,
close the link,close,link,italic,,,center_right,phone field
please c|ose input,close,input,,empty,,under,
accept checkbox,accept,checkbox,highlighted,edit,,right_edge,
지우세요 gallery,delete,gallery,,login,31,last_column,
long_press switch,long_press,switch,dark,,83,left_edge,
login progress_bar,login,progress_bar,,notification,43,left_edge,
launch popup,launch,popup,,,90,second,
wlease deleet popup,delete,popup,strikethrough,,,last,home button
login tue phone_number,login,phone_number,small,settings,8,above,
launch c3eckbox,launch,checkbox,secondary,retry,89,last_column,upload button
launch th0 table,launch,table,active,settings,,nearest,
accept dialog,accept,dialog,,,33,left,chart view
지우세요 slider,delete,slider,highlighted,,42,first_column,import button
summit text,submit,text,collapsed,email,,above,
launch phone_number,launch,phone_number,dark,,,farthest,
c@n you check popup,check,popup,,,74,behind,
check dropdown,check,dropdown,,share,19,last,header
login 입력,login,input,large,email,95,center_right,message field
accept 체크박스,accept,checkbox,,error,59,third,sidebar menu
drag calendar,drag,calendar,,filter,34,under,dialog box
drag the graph,drag,graph,,,,left,
close tab,close,tab,,,40,farthest,
delete the link,delete,link,,,,behind,
launch document,launch,document,,,,second_row,
please subm1t 8ext,submit,text,,,57,second_row,
drag phone_number,drag,phone_number,active,,77,farthest,
long_press chart,long_press,chart,underlined,,46,second_last,
like login the dropdown,login,dropdown,green,filter,33,second_last,
close text,close,text,,,,second,share button
drag gallery,drag,gallery,italic,notification,92,below,
close message,close,message,primary,home,27,third,footer
check search_box,check,search_box,,import,,right_edge,
launch the audio,launch,audio,info,,,next_to,
can you long_przss popup,long_press,popup,,,,center_right,
long_press tab,long_press,tab,disabled,cancel,,top_right,
unpin on slider,unpin,slider,light,,61,under,popup
drag chart,drag,chart,secondary,,74,bottom_right,email field
close 입력,close,input,disabled,,92,outside,main content
close the input,close,input,,,,before,
long_press gallery,long_press,gallery,,profile,54,first_row,
제출 camera,submit,camera,,previous,71,after,
accept dialog,accept,dialog,disabled,previous,75,farthest,
launch switch,launch,switch,red,,70,second_row,
can you unpin table,unpin,table,green,,68,before,
check switch,check,switch,,,,outside,map view
drag table,drag,table,green,,77,next_to,table view
accept dialog,accept,dialog,,,56,in_front_of,edit button
unlin on pasrword,unpin,password,,,,above,
unpin the dark chart,unpin,chart,dark,,,top_right,
unpin 아이콘,unpin,icon,focused,,67,bottom_right,
drag phone_number,drag,phone_number,,,9,farthest,search bar
can you login image,login,image,,share,54,bottom_left,
check on password,check,password,,,1,first_column,home button
accept graph,accept,graph,,add,98,nearest,
login audio,login,audio,,,,last,
please delete file,delete,file,,,76,third,
please login password,login,password,active,previous,39,above,video player
삭제해 graph,delete,graph,,,60,between,
login search_box,login,search_box,secondary,submit,99,right_edge,
close the file,close,file,primary,,93,between,audio player
unpin t0e pasrword,unpin,password,light,address,80,center,
삭제 phone_number,delete,phone_number,light,,90,farthest,
login the menu,login,menu,expanded,error,,next_to,export button
please login icon,login,icon,,share,,before,image gallery
can you login notification,login,notification,,,12,before,
close switch,close,switch,,,47,top_right,header
please long_press radio_button,long_press,radio_button,,,72,before,
can you login tab,login,tab,,settings,34,bottom_right,
check link,check,link,red,next,0,below,
close the radio_button,close,radio_button,blue,share,34,between,
please delete p0pup,delete,popup,danger,,2,first_column,export button
accept password,accept,password,,settings,,outside,settings button
close the phone_number,close,phone_number,,,,inside,profile icon
check camera,check,camera,active,address,97,center,map view
launch 입력,launch,input,italic,,,right_edge,search bar
like delete the graph,delete,graph,bold,,,top_right,
login graph,login,graph,,,,between,
please unpin message,unpin,message,small,address,16,next_to,
check image,check,image,italic,,12,center,
long_press the switch,long_press,switch,blue,,60,third,email field
삭제해 notification,delete,notification,light,message,49,in_front_of,
long_press notification,long_press,notification,expanded,retry,19,first_column,password field
launch graph,launch,graph,,success,2,left_edge,table view
drag switch,drag,switch,yellow,import,87,below,sidebar menu
check chart,check,chart,expanded,remove,,left,search bar
submit on radio_button,submit,radio_button,large,phone,,under,
can you long_press popup,long_press,popup,focused,,,bottom_left,audio player
close 체크박스,close,checkbox,secondary,upload,,left,save button
unpin phone_number,unpin,phone_number,dark,,48,nearest,
삭제해 phone_number,delete,phone_number,strikethrough,login,25,bottom_left,add button
login chart,login,chart,danger,filter,,bottom_right,
launch 아이콘,launch,icon,large,confirm,,under,
drag radio_button,drag,radio_button,disabled,,47,center_right,
check 아이콘,check,icon,highlighted,download,15,in_front_of,modal
launch audio,launch,audio,blue,,99,farthest,menu button
close password,close,password,,empty,,under,
delet the radio_buttov,delete,radio_button,,previous,57,second_last,
close card,close,card,,loading,56,last_column,
전송 file,submit,file,warning,,25,between,
accept link,accept,link,,share,9,first_row,
long_press table,long_press,table,active,,13,center_right,
지우세요 audio,delete,audio,,,80,behind,remove button
please unpin document,unpin,document,warning,cancel,,center_right,
close camera,close,camera,,add,49,second_last,
long_press progress_bar,long_press,progress_bar,,,12,before,
like login the menu,login,menu,,refresh,6,left_edge,
accept gallery,accept,gallery,,export,,above,
login on checkbox,login,checkbox,collapsed,,19,next_to,settings button
삭제해 체크박스,delete,checkbox,,,73,lower_center,video player
close on checkbox,close,checkbox,green,,75,left,edit button
please delete tab,delete,tab,,address,44,bottom_right,delete button
check graph,check,graph,warning,,,left_edge,top navigation
accept phone_number,accept,phone_number,,search,,farthest,remove button
login search_box,login,search_box,highlighted,,,before,
launch 아이콘,launch,icon,red,,26,bottom_left,
unpin table,unpin,table,disabled,sort,9,last_column,video player
drag gallery,drag,gallery,disabled,logout,48,lower_center,address field
please delete dialog,delete,dialog,red,settings,,before,
login image,login,image,blue,,46,second,
please check tab,check,tab,,,42,between,
accept the tab,accept,tab,,,6,bottom_right,
login chart,login,chart,,,88,last,
actually submit file,submit,file,expanded,,34,above,
can you delte mesbage,delete,message,,ok,33,below,card list
login table,login,table,,,38,center,
삭제 text,delete,text,collapsed,,,last_column,
long_press slider,long_press,slider,strikethrough,,26,center,chart view
check document,check,document,blue,,,between,
drag document,drag,document,highlighted,,41,last_column,table view
c1o5e the radio_button,close,radio_button,success,address,,first_column,message field
close image,close,image,active,,70,outside,
accept calendar,accept,calendar,primary,,,inside,submit button
drag notification,drag,notification,warning,delete,6,next_to,home button
close gallery,close,gallery,,edit,,left_edge,
drag dialog,drag,dialog,yellow,,95,second_row,
can you close switch,close,switch,,,31,above,
delete on menu,delete,menu,danger,retry,98,bottom_right,
close popup,close,popup,underlined,email,86,behind,
accept th3 phone_numb3r,accept,phone_number,,remove,58,left_edge,save button
accept message,accept,message,,info,52,above,
please check slider,check,slider,disabled,,,first_column,
login 입력,login,input,highlighted,cancel,89,top_right,
close message,close,message,,,53,top_right,
check the active graph,check,graph,active,,81,inside,
accept the document,accept,document,italic,logout,78,nearest,
can you login input,login,input,,ok,,left_edge,sidebar menu
can you close icon,close,icon,primary,,,next_to,search bar
please drag menu,drag,menu,highlighted,,59,right_edge,
drag gallery,drag,gallery,highlighted,,,before,
delet notification,delete,notification,,,,outside,
drrg gallery,drag,gallery,,,93,farthest,
close phone_number,close,phone_number,,search,65,farthest,export button
check dropdown,check,dropdown,info,,96,left,
can you launch notification,launch,notification,collapsed,,79,first_column,
please check graph,check,graph,dark,,16,bottom_left,
close search_box,close,search_box,green,login,,before,
삭제해 popup,delete,popup,,,,second,
please login image,login,image,,export,,after,filter button
accept dialog,accept,dialog,info,edit,56,below,
login image,login,image,danger,address,64,center_right,phone field
drag icon,drag,icon,,,95,lower_center,
please close search_box,close,search_box,,,12,in_front_of,
can yon lon1_press dropdown,long_press,dropdown,,,,inside,
unpin card,unpin,card,,ok,1,center_right,main content
지우세요 dropdown,delete,dropdown,secondary,cancel,,behind,
c|ose chart,close,chart,large,download,35,lower_center,
check graph,check,graph,green,,4,inside,menu button
delete message,delete,message,strikethrough,add,38,bottom_left,save button
delete message,delete,message,focused,,76,top_right,
check menu,check,menu,success,,,inside,
check radio_button,check,radio_button,,,,nearest,notification panel
launch the strikethrough switch,launch,switch,strikethrough,,82,below,
unpin dialog,unpin,dialog,,,63,first_row,cart icon
close tab,close,tab,,,16,below,delete button
long_press 아이콘,long_press,icon,blue,,93,left,
accept switch,accept,switch,underlined,,83,third,
check search_box,check,search_box,,password,,top_right,refresh button
can you delete phone_number,delete,phone_number,,,15,above,
please unpin checkbox,unpin,checkbox,collapsed,,54,inside,
drag link,drag,link,primary,logout,82,bottom_right,settings button
long_press dropdown,long_press,dropdown,,email,,before,search field
pl6ase close link,close,link,,,22,bottom_left,search field
long_press 입력,long_press,input,expanded,retry,73,last_column,password field
accept graph,accept,graph,,,33,second,footer
check camera,check,camera,,,56,center_right,modal
can you drag menu,drag,menu,collapsed,upload,79,left,
please check progress_bar,check,progress_bar,,back,41,lower_center,share button
accept audio,accept,audio,success,,96,nearest,
delete phone_number,delete,phone_number,red,empty,99,lower_center,
delet switch,delete,switch,italic,,48,last_column,
long_press on graph,long_press,graph,,,87,right_edge,
delete dropdown,delete,dropdown,,profile,64,center,
drag chart,drag,chart,,profile,,center_right,
launch calend@r,launch,calendar,blue,,21,after,
can you drag input,drag,input,,,84,third,
long_press menu,long_press,menu,info,import,21,below,
close text,close,text,,notification,51,last,
long_press on radio_button,long_press,radio_button,active,filter,,farthest,refresh button
please launch switch,launch,switch,italic,ok,,last_column,
long_press image,long_press,image,blue,,50,below,filter button
you know please submit camera,submit,camera,small,,,first_row,
launch dialog,launch,dialog,focused,,91,second_last,
please launch dialog,launch,dialog,success,,15,farthest,share button
accept the search_box,accept,search_box,red,,75,nearest,
close search_box,close,search_box,danger,loading,,bottom_right,
lomin the icow,login,icon,success,cancel,95,after,
can you delete dropdown,delete,dropdown,,,97,second,
check password,check,password,danger,,,inside,
unpif txe chart,unpin,chart,,,95,below,
can you check document,check,document,warning,error,81,next_to,
drag the table,drag,table,,download,,right_edge,
drag switch,drag,switch,secondary,warning,57,before,video player
drag notification,drag,notification,focused,register,,nearest,
dryg progress_bar,drag,progress_bar,,,66,top_right,menu button
long_press calendar,long_press,calendar,strikethrough,warning,10,bottom_right,
check notification,check,notification,underlined,,10,third,
long_press 입력,long_press,input,disabled,,98,top_right,
login dropdown,login,dropdown,info,,33,first_row,
launch menu,launch,menu,,profile,58,last_column,
삭제해 menu,delete,menu,,next,53,center_right,
unpin the phone_number,unpin,phone_number,,email,38,after,upload button
unpin the dropdown,unpin,dropdown,,delete,,second,dialog box
check input,check,input,,logout,,next_to,cart icon
drag the gallery,drag,gallery,expanded,import,26,first_row,
close search_box,close,search_box,blue,logout,,in_front_of,
accept dialog,accept,dialog,,logout,60,above,
close radio_button,close,radio_button,warning,,42,center,audio player
launch document,launch,document,large,logout,76,outside,card list
unpin the chart,unpin,chart,,upload,80,nearest,
drag file,drag,file,,,72,between,
please delte chvrt,delete,chart,success,,22,next_to,
delete the audio,delete,audio,,remove,95,in_front_of,
login search_box,login,search_box,yellow,,86,top_right,
long_press image,long_press,image,bold,register,90,second_last,
delete slider,delete,slider,small,delete,39,left,
crn you close aile,close,file,success,import,55,between,
long_press slider,long_press,slider,green,login,58,before,
삭제 password,delete,password,,,52,next_to,
launch menu,launch,menu,,,92,nearest,
launch gallery,launch,gallery,secondary,save,87,next_to,
please check dialog,check,dialog,dark,sort,,center,
jogin tamle,login,table,,back,75,second,
pltase launch calendar,launch,calendar,small,notification,36,left,remove button
long_press card,long_press,card,strikethrough,delete,12,center_right,
accept dropdown,accept,dropdown,,,15,inside,
drag the gallery,drag,gallery,warning,,60,inside,
login calendar,login,calendar,yellow,,,bottom_left,
login text,login,text,,password,35,left_edge,
can you launch switch,launch,switch,,,,farthest,
launch notification,launch,notification,disabled,share,,right_edge,header
launch phone_number,launch,phone_number,italic,,74,under,
close the message,close,message,active,next,13,outside,
accept on gallery,accept,gallery,,,62,bottom_left,email field
delete the table,delete,table,focused,,,under,
accept card,accept,card,expanded,download,46,above,
close audio,close,audio,light,login,80,nearest,
login radio_button,login,radio_button,strikethrough,,0,second_last,
login phone_number,login,phone_number,info,,60,left_edge,
oan 1ou drag graph,drag,graph,,,62,last_column,
check document,check,document,,cancel,84,last_column,
check the message,check,message,collapsed,filter,,between,phone field
check search_box,check,search_box,,,25,next_to,delete button
login the audio,login,audio,blue,,52,inside,sidebar menu
launch dropdown,launch,dropdown,focused,,,third,remove button
launch gallery,launch,gallery,active,,,lower_center,
i think login file,login,file,highlighted,,2,behind,
nnpin the dialog,unpin,dialog,,,70,after,upload button
unpin image,unpin,image,light,filter,75,next_to,
long_press calendar,long_press,calendar,success,,22,center_right,
unpin card,unpin,card,,upload,36,below,calendar view
close dropdown,close,dropdown,disabled,,10,above,
please close notification,close,notification,,alert,10,left_edge,
launch file,launch,file,highlighted,cancel,,left,card list
accept graph,accept,graph,strikethrough,,24,last_column,image gallery
please accept radio_button,accept,radio_button,strikethrough,,66,center_right,
launch audio,launch,audio,,,,after,
long_press document,long_press,document,,error,,right_edge,modal
login the phone_number,login,phone_number,large,,50,farthest,
launch switch,launch,switch,primary,success,60,top_right,
de1ete text,delete,text,,delete,36,second,
long_press document,long_press,document,,,85,above,
clo5e graph,close,graph,,previous,17,next_to,
close calendar,close,calendar,yellow,,45,first_row,top navigation
login dialog,login,dialog,,delete,,after,
long_press document,long_press,document,focused,,53,between,upload button
check chart,check,chart,,address,72,nearest,
launch image,launch,image,,address,,last_column,
launch dropdown,launch,dropdown,,,,in_front_of,
like unpin the dialog,unpin,dialog,,,88,lower_center,password field
actually please launch icon,launch,icon,dark,,86,first_row,
unpin link,unpin,link,,export,91,lower_center,menu button
login switch,login,switch,collapsed,,,behind,
close search_box,close,search_box,blue,error,94,before,notification panel
accept link,accept,link,dark,,88,second_row,
like launch file,launch,file,,,51,farthest,cancel button
unpin document,unpin,document,,,,above,settings button
closz the dialog,close,dialog,,,89,lower_center,
drag menu,drag,menu,bold,,9,inside,delete button
accept camera,accept,camera,focused,alert,22,top_right,
check radio_button,check,radio_button,,loading,70,third,
login radio_button,login,radio_button,expanded,,97,second_last,
close phone_number,close,phone_number,,login,,inside,back button
check dialog,check,dialog,,confirm,56,outside,
actually close phone_number,close,phone_number,info,,,before,search bar
login radio_button,login,radio_button,light,,85,lower_center,
login menu,login,menu,blue,phone,85,bottom_right,
please unpin audio,unpin,audio,success,,86,second_last,
unpin message,unpin,message,highlighted,email,,bottom_left,menu button
accept the switch,accept,switch,,address,33,center_right,
drag gallery,drag,gallery,secondary,back,38,bottom_right,
accept card,accept,card,,,75,left,
login notification,login,notification,red,edit,55,after,
drag radio_button,drag,radio_button,expanded,success,,outside,import button
just delete radio_button,delete,radio_button,danger,submit,,under,footer
submitt camera,submit,camera,,ok,42,bottom_left,menu button
like unpin file,unpin,file,,,,bottom_right,
just drag audio,drag,audio,active,alert,,second_row,audio player
close search_box,close,search_box,red,,34,first_row,
please long_press radio_button,long_press,radio_button,secondary,,80,bottom_left,
close gra2h,close,graph,,,77,behind,share button
please unpin document,unpin,document,bold,home,88,outside,
please unpin image,unpin,image,small,,11,behind,
accept calendar,accept,calendar,,phone,21,outside,email field
please long_press dialog,long_press,dialog,,,23,second,
please accept notification,accept,notification,,,,second_last,
accept gallery in_front_of phone field,accept,gallery,active,,30,in_front_of,phone field
login password,login,password,,,45,second_last,
launch image,launch,image,,,98,below,
삭제 switch,delete,switch,,submit,44,outside,
close on link,close,link,strikethrough,,2,second,
drag menu,drag,menu,light,,88,second_row,
long_press gallery,long_press,gallery,,search,74,before,dialog box
please check phone_number,check,phone_number,yellow,,,last,
accept the switch,accept,switch,focused,export,,before,refresh button
please check search_box,check,search_box,light,,74,nearest,
like drag phone_number,drag,phone_number,success,,76,center,footer
accept slider,accept,slider,expanded,info,11,second_row,
지우세요 text,delete,text,green,,80,farthest,cancel button
drag message,drag,message,yellow,next,,left,filter button
drag progress_bar,drag,progress_bar,,empty,78,under,
drag switch,drag,switch,,,23,lower_center,
6heck qhe grayh,check,graph,active,password,,first_column,
close search_box,close,search_box,,filter,,third,
login calendar,login,calendar,,,,second_last,
launch file,launch,file,,home,21,last_column,
long_press audio,long_press,audio,yellow,previous,53,under,
accept slider,accept,slider,warning,,13,center_right,
unpin notification,unpin,notification,blue,loading,13,bottom_right,main content
drag phone_number,drag,phone_number,focused,,,outside,
accept phone_number,accept,phone_number,active,home,59,nearest,
can you launch calendar,launch,calendar,strikethrough,,14,between,
launch input,launch,input,,upload,20,second,
you know unpin slider,unpin,slider,blue,,,outside,add button
d1ag the camera,drag,camera,bold,next,86,left,
like launch dialog,launch,dialog,active,search,20,bottom_right,
check link,check,link,warning,,86,in_front_of,remove button
long_press calendar,long_press,calendar,focused,,96,second_last,
long_press dropdown,long_press,dropdown,light,,56,last_column,
drag phone_number,drag,phone_number,red,back,38,outside,audio player
unpin the menu,unpin,menu,info,,44,next_to,
submit text,submit,text,,,31,left,
close card,close,card,,password,85,under,image gallery
accept audio,accept,audio,secondary,,19,bottom_left,
삭제 file,delete,file,warning,,24,last,video player
please accept camera,accept,camera,,login,,after,
drag tab,drag,tab,primary,email,8,third,sidebar menu
drtg nhe dialog,drag,dialog,bold,,57,before,menu button
please accept input,accept,input,bold,login,,behind,
can yoz drag cceckbox,drag,checkbox,,,,farthest,
can you check checkbox,check,checkbox,,,,between,
please close image,close,image,expanded,,,in_front_of,
삭제해 menu,delete,menu,,,67,before,popup
can you accept message,accept,message,underlined,warning,84,top_right,
delete icon,delete,icon,,download,34,after,table view
launch dialog,launch,dialog,,info,0,third,dialog box
pleale long_press ph5ne_number,long_press,phone_number,,,,center_right,
launch message,launch,message,warning,,,above,menu button
delete th3 menu,delete,menu,yellow,,81,center,image gallery
launch link,launch,link,active,,,second,
login camera,login,camera,info,back,,left_edge,
can you drag document,drag,document,,alert,86,farthest,
accept 입력,accept,input,,add,79,farthest,
urpin switch,unpin,switch,active,password,50,left_edge,map view
can you long_press table,long_press,table,disabled,,,nearest,message field
login document,login,document,danger,download,,outside,image gallery
drag on dropdown,drag,dropdown,,info,,lower_center,
close card,close,card,highlighted,,17,first_column,refresh button
accept icon,accept,icon,,login,15,bottom_right,
login file,login,file,warning,,79,lower_center,
확인하세요 notification,submit,notification,dark,back,,first_row,share button
please close popup,close,popup,expanded,home,67,behind,
삭제 radio_button,delete,radio_button,expanded,,98,top_right,
can you check file,check,file,info,,53,second_row,upload button
please delete text,delete,text,,,84,last,
삭제 camera,delete,camera,red,export,24,third,
please ac5ept link,accept,link,,,48,outside,search field
accept 입력,accept,input,,,68,between,
unpin progress_bar,unpin,progress_bar,blue,message,,outside,
close document,close,document,primary,,,bottom_left,
check switch,check,switch,strikethrough,back,,second_row,
login fhe document,login,document,,,,second,
please launch camera,launch,camera,red,info,43,right_edge,menu button
uh leaf camera,delete,camera,underlined,password,,above,
login document,login,document,,,,outside,delete button
drag switch,drag,switch,,,95,first_row,
check audio,check,audio,bold,password,58,center_right,
long_press popup,long_press,popup,green,,,inside,modal
삭제해 text,delete,text,,,,first_row,phone field
unpin table,unpin,table,warning,,32,left,
drag camera,drag,camera,,import,31,between,phone field
launch search_box,launch,search_box,info,submit,37,bottom_left,home button
drag the phone_number,drag,phone_number,,,18,second_last,delete button
check switch,check,switch,,,2,second_last,
drag gallery,drag,gallery,,,55,next_to,save button
unpin the camera,unpin,camera,blue,,13,before,
can you accept radio_button,accept,radio_button,highlighted,,7,between,
check menu,check,menu,,,46,nearest,cancel button
unpin 입력,unpin,input,danger,login,74,behind,
drag popup,drag,popup,focused,,,first_row,address field
launch message,launch,message,dark,,50,bottom_right,main content
login text,login,text,,phone,27,before,top navigation
actually check the message,check,message,secondary,,,second_last,
accept search_box,accept,search_box,,retry,28,last_column,footer
long_press on camera,long_press,camera,collapsed,,,left,
can you login dropdown,login,dropdown,,,19,bottom_left,home button
can you drag table,drag,table,blue,register,86,center_right,
login popup,login,popup,dark,,27,behind,download button
actually login password,login,password,,,8,outside,
accept chart,accept,chart,,,83,farthest,
unpin on dropdown,unpin,dropdown,active,,38,center,home button
삭제해 phone_number,delete,phone_number,bold,,79,center,popup
close document,close,document,,login,40,left,
accept the icon,accept,icon,red,,7,nearest,
actually submit file,submit,file,large,,72,behind,table view
launch dialog,launch,dialog,underlined,,18,center,
check menu,check,menu,focused,,43,last_column,
launch gallery,launch,gallery,expanded,,,below,profile icon
drag chart,drag,chart,bold,,,last,
check link,check,link,,,77,top_right,edit button
launch 아이콘,launch,icon,highlighted,download,,second_last,modal
check message,check,message,italic,refresh,96,lower_center,
check camera,check,camera,warning,message,57,top_right,
long_press the popup,long_press,popup,,profile,81,second,
please clope switch,close,switch,secondary,,,before,import button
please login switch,login,switch,,,12,farthest,
launch on slider,launch,slider,,,96,first_column,search field
삭제해 menu,delete,menu,highlighted,alert,19,second_row,
지우세요 menu,delete,menu,expanded,,31,last_column,
launch radio_button,launch,radio_button,bold,,60,before,
unpin document,unpin,document,primary,logout,51,outside,add button
plea7e drag popup,drag,popup,,cancel,32,nearest,
check link,check,link,red,,,above,
launch notification,launch,notification,,,51,second_last,submit button
drag camera,drag,camera,disabled,warning,47,in_front_of,
long_press dialog,long_press,dialog,,refresh,51,above,
accept 체크박스,accept,checkbox,,remove,39,right_edge,
check link,check,link,green,,31,after,
you know close phone_number,close,phone_number,info,,34,last_column,
long_press calendar,long_press,calendar,,,,below,password field
accept dropdown,accept,dropdown,,cancel,81,left_edge,
long_press audio,long_press,audio,yellow,,54,nearest,
phease check password,check,password,success,,,left,
unpin the link,unpin,link,,home,88,second,
long_press the text,long_press,text,disabled,,41,left_edge,
long_press progress_bar,long_press,progress_bar,primary,,,last_column,phone field
check notification,check,notification,light,password,,second_last,add button
can you close checkbox,close,checkbox,bold,,,second,
close gallery,close,gallery,,confirm,,in_front_of,
accept card,accept,card,success,loading,98,first_row,
accept message,accept,message,primary,address,44,lower_center,menu button
close chart,close,chart,,upload,57,behind,sort button
launch link,launch,link,active,,,next_to,
please close progress_bar,close,progress_bar,large,cancel,,after,
launch popup,launch,popup,large,remove,77,between,
clo5e link,close,link,primary,,,after,download button
accept message,accept,message,,sort,,second,sidebar menu
launch text,launch,text,secondary,remove,10,left_edge,dialog box
check text,check,text,,,,under,edit button
check radio_button,check,radio_button,bold,empty,71,left,
check 아이콘,check,icon,large,share,9,last_column,
you know can you delete audio,delete,audio,yellow,,32,right_edge,
long_pgess on table,long_press,table,red,,88,first_column,
long_press popup,long_press,popup,green,next,44,second_row,header
i think close the dialog,close,dialog,,,63,farthest,message field
please login radio_button,login,radio_button,green,cancel,81,below,table view
please long_press document,long_press,document,success,remove,23,bottom_right,
just launch dropdown,launch,dropdown,dark,,,first_row,
long_press radio_button,long_press,radio_button,,,26,after,import button
please launch notification,launch,notification,active,retry,23,under,
check the password,check,password,,,,second_row,
check the link,check,link,info,,45,lower_center,
